platform,title,url,thumbnail_file,uploader,timestamp,added_timestamp,transcript_source,description_preview,transcript_preview
instagram,Video by odditylooms,https://www.instagram.com/reel/DT5PJIFjUut/?igsh=N216aDMwYm8wazY0,raw/DT5PJIFjUut.jpg,UNHINGED TV | WEIRD FACTS | BIZARRE FINDS | STRANGE HISTORY,1769259600,1775865659,none,"This clip is from a real 1984 Mr. T motivational show made for kids and teens. It’s built around short skits, music, and staged scenes about peer pressure, confidence, and making better choices. The s",
instagram,Post by thequantumbrief,https://www.instagram.com/p/DT7P6UGDHb4/?img_index=4&igsh=MWl4bHJuamZ5NW5wZQ==,,,,1775865659,none,"In 1977, inventor Itzhak Bentov met with intelligence officials to share a radical idea: The universe is a hologram within human awareness.

The CIA later produced a classified 29-page report titled A",
instagram,Video by memory.lane.project,https://www.instagram.com/reel/DTJ4e7xjPRi/?igsh=eXl5Nm41dHpwOTln,raw/DTJ4e7xjPRi.jpg,The Memory Lane Project,1767671115,1775865659,none,"They call it the Millennial Ache. We are the last generation that remembers life before the internet, before social media, before life became so loud and fast. We had a foot in both worlds—the analog ",
instagram,Video by recoverydays_chris,https://www.instagram.com/reel/DTKMPtaE5CV/?igsh=Nmx1eGllbXZ5b3lr,raw/DTKMPtaE5CV.jpg,Recovery Days_Chris Burn,1767681059,1775865659,none,Self love #RecoveryDays,
instagram,Video by therealnurtle,https://www.instagram.com/reel/DTQ2leXjBNP/?igsh=eWRtb3NveTBybjVz,raw/DTQ2leXjBNP.jpg,Nurtle,1767904598,1775865659,none,"In 1949, Indian mathematician D. R. Kaprekar described a numerical process that revealed a fixed result for four digit numbers in base ten. That result is 6174, now known as Kaprekar’s Constant.

The ",
instagram,Video by joshuaspoetry,https://www.instagram.com/reel/DTRQ163kWlA/?igsh=MWs1MDA0ZDdsem9qMw==,raw/DTRQ163kWlA.jpg,Joshua De Schutter,1767918382,1775865659,none,Does all pain have meaning?,
instagram,Video by greatmensociety,https://www.instagram.com/reel/DTSNpvWDFUi/?igsh=NmhqN3YxdmY5N2Q5,raw/DTSNpvWDFUi.jpg,Great Men Society,1767950248,1775865659,none,"Follow us 👉🏼 @greatmensociety for more!

Share your thoughts in the comments below! 🤯",
instagram,Video by judgysociety,https://www.instagram.com/reel/DTSgG38D8IG/?igsh=OHcwdmN2OTFydGkz,raw/DTSgG38D8IG.jpg,Judgy Society,1767959966,1775865659,none,"🧮

Kaprekar's constant is the number 6174, a four-digit number that emerges when you repeatedly apply a specific process: take any four-digit number (with at least two different digits), rearrange its",
instagram,Video by ufocaller,https://www.instagram.com/reel/DTStM_tjN8o/?igsh=d3J4bm9hZ3ZwaDhn,raw/DTStM_tjN8o.jpg,UFO 🧚‍♀️,1767966931,1775865659,none,"Reupload for the new translation on instagram 🐚 

This is not just about harmony.
This is about not being able to see the ordinary (our spiritual perception is being blocked) 

12 represents completio",
instagram,Video by lukespurgeon,https://www.instagram.com/reel/DTVyvdkjcHW/?igsh=eGdvbHliNzloamt0,raw/DTVyvdkjcHW.jpg,Luke Spurgeon,1768070342,1775865659,none,Why people get manifestation so wrong…,
